company_id,metric_type,period_years,value_pct
HDFCBANK,compounded_sales_growth,10,12.0
HDFCBANK,compounded_sales_growth,5,15.0
HDFCBANK,compounded_sales_growth,3,14.0
HDFCBANK,compounded_sales_growth,1,10.0
HDFCBANK,compounded_profit_growth,10,12.0
HDFCBANK,compounded_profit_growth,5,15.0
HDFCBANK,compounded_profit_growth,3,14.0
HDFCBANK,compounded_profit_growth,1,10.0
HDFCBANK,stock_price_cagr,10,12.0
HDFCBANK,stock_price_cagr,5,15.0
HDFCBANK,stock_price_cagr,3,14.0
HDFCBANK,stock_price_cagr,1,10.0
HDFCBANK,roe,10,12.0
HDFCBANK,roe,5,15.0
HDFCBANK,roe,3,14.0
HDFCBANK,roe,1,10.0
SBILIFE,compounded_sales_growth,10,12.0
SBILIFE,compounded_sales_growth,5,15.0
SBILIFE,compounded_sales_growth,3,14.0
SBILIFE,compounded_sales_growth,1,10.0
SBILIFE,compounded_profit_growth,10,12.0
SBILIFE,compounded_profit_growth,5,15.0
SBILIFE,compounded_profit_growth,3,14.0
SBILIFE,compounded_profit_growth,1,10.0
SBILIFE,stock_price_cagr,10,12.0
SBILIFE,stock_price_cagr,5,15.0
SBILIFE,stock_price_cagr,3,14.0
SBILIFE,stock_price_cagr,1,10.0
SBILIFE,roe,10,12.0
SBILIFE,roe,5,15.0
SBILIFE,roe,3,14.0
SBILIFE,roe,1,10.0
TCS,compounded_sales_growth,10,12.0
TCS,compounded_sales_growth,5,15.0
TCS,compounded_sales_growth,3,14.0
TCS,compounded_sales_growth,1,10.0
TCS,compounded_profit_growth,10,12.0
TCS,compounded_profit_growth,5,15.0
TCS,compounded_profit_growth,3,14.0
TCS,compounded_profit_growth,1,10.0
TCS,stock_price_cagr,10,12.0
TCS,stock_price_cagr,5,15.0
TCS,stock_price_cagr,3,14.0
TCS,stock_price_cagr,1,10.0
TCS,roe,10,12.0
TCS,roe,5,15.0
TCS,roe,3,14.0
TCS,roe,1,10.0
SHRIRAMFIN,compounded_sales_growth,10,12.0
SHRIRAMFIN,compounded_sales_growth,5,15.0
SHRIRAMFIN,compounded_sales_growth,3,14.0
SHRIRAMFIN,compounded_sales_growth,1,10.0
SHRIRAMFIN,compounded_profit_growth,10,12.0
SHRIRAMFIN,compounded_profit_growth,5,15.0
SHRIRAMFIN,compounded_profit_growth,3,14.0
SHRIRAMFIN,compounded_profit_growth,1,10.0
SHRIRAMFIN,stock_price_cagr,10,12.0
SHRIRAMFIN,stock_price_cagr,5,15.0
SHRIRAMFIN,stock_price_cagr,3,14.0
SHRIRAMFIN,stock_price_cagr,1,10.0
SHRIRAMFIN,roe,10,12.0
SHRIRAMFIN,roe,5,15.0
SHRIRAMFIN,roe,3,14.0
SHRIRAMFIN,roe,1,10.0
INFY,compounded_sales_growth,10,12.0
INFY,compounded_sales_growth,5,15.0
INFY,compounded_sales_growth,3,14.0
INFY,compounded_sales_growth,1,10.0
INFY,compounded_profit_growth,10,12.0
INFY,compounded_profit_growth,5,15.0
INFY,compounded_profit_growth,3,14.0
INFY,compounded_profit_growth,1,10.0
INFY,stock_price_cagr,10,12.0
INFY,stock_price_cagr,5,15.0
INFY,stock_price_cagr,3,14.0
INFY,stock_price_cagr,1,10.0
INFY,roe,10,12.0
INFY,roe,5,15.0
INFY,roe,3,14.0
INFY,roe,1,10.0
