company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2012,+,+,+,Cash Accumulator
ABB,2014,+,+,+,Cash Accumulator
ABB,2015,+,+,+,Cash Accumulator
ABB,2016,+,+,+,Cash Accumulator
ABB,2017,+,+,+,Cash Accumulator
ABB,2018,+,+,+,Cash Accumulator
ABB,2019,+,+,+,Cash Accumulator
ABB,2020,+,+,+,Cash Accumulator
ABB,2021,+,+,+,Cash Accumulator
ABB,2022,+,+,+,Cash Accumulator
ABB,2023,+,+,+,Cash Accumulator
ABB,2024,+,+,+,Cash Accumulator
ABB,0,+,+,+,Cash Accumulator
ADANIENSOL,2014,+,+,+,Cash Accumulator
ADANIENSOL,2015,+,+,+,Cash Accumulator
ADANIENSOL,2016,+,+,+,Cash Accumulator
ADANIENSOL,2017,+,+,+,Cash Accumulator
ADANIENSOL,2018,+,+,+,Cash Accumulator
ADANIENSOL,2019,+,+,+,Cash Accumulator
ADANIENSOL,2020,+,+,+,Cash Accumulator
ADANIENSOL,2021,+,+,+,Cash Accumulator
ADANIENSOL,2022,+,+,+,Cash Accumulator
ADANIENSOL,2023,+,+,+,Cash Accumulator
ADANIENSOL,2024,+,+,+,Cash Accumulator
ADANIENSOL,0,+,+,+,Cash Accumulator
ADANIENT,2013,+,+,+,Cash Accumulator
ADANIENT,2014,+,+,+,Cash Accumulator
ADANIENT,2015,+,+,+,Cash Accumulator
ADANIENT,2016,+,+,+,Cash Accumulator
ADANIENT,2017,+,+,+,Cash Accumulator
ADANIENT,2018,+,+,+,Cash Accumulator
ADANIENT,2019,+,+,+,Cash Accumulator
ADANIENT,2020,+,+,+,Cash Accumulator
ADANIENT,2021,+,+,+,Cash Accumulator
ADANIENT,2022,+,+,+,Cash Accumulator
ADANIENT,2023,+,+,+,Cash Accumulator
ADANIENT,2024,+,+,+,Cash Accumulator
ADANIENT,0,+,+,+,Cash Accumulator
ADANIGREEN,2017,+,+,+,Cash Accumulator
ADANIGREEN,2018,+,+,+,Cash Accumulator
ADANIGREEN,2019,+,+,+,Cash Accumulator
ADANIGREEN,2020,+,+,+,Cash Accumulator
ADANIGREEN,2021,+,+,+,Cash Accumulator
ADANIGREEN,2022,+,+,+,Cash Accumulator
ADANIGREEN,2023,+,+,+,Cash Accumulator
ADANIGREEN,2024,+,+,+,Cash Accumulator
ADANIGREEN,0,+,+,+,Cash Accumulator
ADANIPORTS,2013,+,+,+,Cash Accumulator
ADANIPORTS,2014,+,+,+,Cash Accumulator
ADANIPORTS,2015,+,+,+,Cash Accumulator
ADANIPORTS,2016,+,+,+,Cash Accumulator
ADANIPORTS,2017,+,+,+,Cash Accumulator
ADANIPORTS,2018,+,+,+,Cash Accumulator
