company_id,year_from,year_to,pattern_from,pattern_to,shift_summary
ADANIENSOL,0,2014,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 0 to Capital Preservers / Laggards in 2014
ADANIENSOL,2015,2016,Capital Preservers / Laggards,Conservative Reinvestors,Shifted from Capital Preservers / Laggards in 2015 to Conservative Reinvestors in 2016
ADANIGREEN,0,2017,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 0 to Capital Preservers / Laggards in 2017
ADANIGREEN,2020,2021,Capital Preservers / Laggards,Conservative Reinvestors,Shifted from Capital Preservers / Laggards in 2020 to Conservative Reinvestors in 2021
ADANIPOWER,0,2013,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 0 to Capital Preservers / Laggards in 2013
ADANIPOWER,2015,2016,Capital Preservers / Laggards,Conservative Reinvestors,Shifted from Capital Preservers / Laggards in 2015 to Conservative Reinvestors in 2016
ADANIPOWER,2016,2017,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 2016 to Capital Preservers / Laggards in 2017
ADANIPOWER,2020,2021,Capital Preservers / Laggards,Conservative Reinvestors,Shifted from Capital Preservers / Laggards in 2020 to Conservative Reinvestors in 2021
BANKBARODA,2015,2016,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 2015 to Capital Preservers / Laggards in 2016
BANKBARODA,2016,2017,Capital Preservers / Laggards,Conservative Reinvestors,Shifted from Capital Preservers / Laggards in 2016 to Conservative Reinvestors in 2017
BANKBARODA,2017,2018,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 2017 to Capital Preservers / Laggards in 2018
BANKBARODA,2018,2019,Capital Preservers / Laggards,Conservative Reinvestors,Shifted from Capital Preservers / Laggards in 2018 to Conservative Reinvestors in 2019
BHARTIARTL,2019,2020,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 2019 to Capital Preservers / Laggards in 2020
BHARTIARTL,2021,2022,Capital Preservers / Laggards,Conservative Reinvestors,Shifted from Capital Preservers / Laggards in 2021 to Conservative Reinvestors in 2022
BHEL,2015,2016,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 2015 to Capital Preservers / Laggards in 2016
BHEL,2016,2017,Capital Preservers / Laggards,Conservative Reinvestors,Shifted from Capital Preservers / Laggards in 2016 to Conservative Reinvestors in 2017
BHEL,2019,2020,Conservative Reinvestors,Capital Preservers / Laggards,Shifted from Conservative Reinvestors in 2019 to Capital Preservers / Laggards in 2020
